	Gene1	Gene2	dist	strand	pred
0	KVP08_000005	KVP08_000010	21	1	True
1	KVP08_000010	KVP08_000015	162	1	False
2	KVP08_000015	KVP08_000020	17	1	True
3	KVP08_000030	KVP08_000035	156	1	False
4	KVP08_000040	KVP08_000045	10	-1	True
5	KVP08_000055	KVP08_000060	195	-1	False
6	KVP08_000060	KVP08_000065	36	-1	True
7	KVP08_000065	KVP08_000070	159	-1	False
8	KVP08_000070	KVP08_000075	209	-1	False
9	KVP08_000075	KVP08_000080	98	-1	False
10	KVP08_000080	KVP08_000085	23	-1	True
11	KVP08_000090	KVP08_000095	16	1	True
12	KVP08_000095	KVP08_000100	78	1	True
13	KVP08_000100	KVP08_000105	2	1	True
14	KVP08_000120	KVP08_000125	12	-1	True
15	KVP08_000125	KVP08_000130	16	-1	True
16	KVP08_000130	KVP08_000135	3	-1	True
17	KVP08_000135	KVP08_000140	16	-1	True
18	KVP08_000145	KVP08_000150	84	1	True
19	KVP08_000150	KVP08_000155	3	1	True
20	KVP08_000155	KVP08_000160	123	1	False
21	KVP08_000160	KVP08_000165	139	1	False
22	KVP08_000165	KVP08_000170	30	1	True
23	KVP08_000180	KVP08_000185	21	1	True
24	KVP08_000215	KVP08_000220	22	1	True
25	KVP08_000225	KVP08_000230	13	-1	True
26	KVP08_000230	KVP08_000235	49	-1	True
27	KVP08_000235	KVP08_000240	11	-1	True
28	KVP08_000245	KVP08_000250	261	1	False
29	KVP08_000250	KVP08_000255	5	1	True
30	KVP08_000255	KVP08_000260	343	1	False
31	KVP08_000260	KVP08_000265	130	1	False
32	KVP08_000265	KVP08_000270	-10	1	True
33	KVP08_000275	KVP08_000280	136	-1	False
34	KVP08_000285	KVP08_000290	138	1	False
35	KVP08_000290	KVP08_000295	222	1	False
36	KVP08_000295	KVP08_000300	173	1	False
37	KVP08_000300	KVP08_000305	631	1	False
38	KVP08_000305	KVP08_000310	102	1	False
39	KVP08_000315	KVP08_000320	2	-1	True
40	KVP08_000320	KVP08_000325	45	-1	True
41	KVP08_000325	KVP08_000330	1	-1	True
42	KVP08_000330	KVP08_000335	229	-1	False
43	KVP08_000340	KVP08_000345	116	1	False
44	KVP08_000345	KVP08_000350	25	1	True
45	KVP08_000350	KVP08_000355	89	1	True
46	KVP08_000365	KVP08_000370	260	1	False
47	KVP08_000370	KVP08_000375	93	1	False
48	KVP08_000375	KVP08_000380	206	1	False
49	KVP08_000395	KVP08_000400	50	-1	True
50	KVP08_000400	KVP08_000405	89	-1	True
51	KVP08_000405	KVP08_000410	4	-1	True
52	KVP08_000415	KVP08_000420	31	1	True
53	KVP08_000420	KVP08_000425	-3	1	True
54	KVP08_000425	KVP08_000430	129	1	False
55	KVP08_000430	KVP08_000435	141	1	False
56	KVP08_000435	KVP08_000440	108	1	False
57	KVP08_000440	KVP08_000445	119	1	False
58	KVP08_000450	KVP08_000455	60	-1	True
59	KVP08_000460	KVP08_000465	72	1	True
60	KVP08_000465	KVP08_000470	16	1	True
61	KVP08_000480	KVP08_000485	93	1	False
62	KVP08_000485	KVP08_000490	129	1	False
63	KVP08_000500	KVP08_000505	36	1	True
64	KVP08_000515	KVP08_000520	123	1	False
65	KVP08_000520	KVP08_000525	48	1	True
66	KVP08_000525	KVP08_000530	608	1	False
67	KVP08_000530	KVP08_000535	-3	1	True
68	KVP08_000535	KVP08_000540	-3	1	True
69	KVP08_000540	KVP08_000545	0	1	True
70	KVP08_000545	KVP08_000550	58	1	True
71	KVP08_000550	KVP08_000555	-3	1	True
72	KVP08_000555	KVP08_000565	270	1	False
73	KVP08_000565	KVP08_000570	125	1	False
74	KVP08_000570	KVP08_000575	0	1	True
75	KVP08_000575	KVP08_000580	11	1	True
76	KVP08_000580	KVP08_000585	21	1	True
77	KVP08_000590	KVP08_000595	117	-1	False
78	KVP08_000605	KVP08_000610	125	-1	False
79	KVP08_000615	KVP08_000620	234	1	False
80	KVP08_000625	KVP08_000630	26	-1	True
81	KVP08_000640	KVP08_000645	64	-1	True
82	KVP08_000650	KVP08_000655	297	1	False
83	KVP08_000665	KVP08_000670	61	1	True
84	KVP08_000675	KVP08_000680	26	-1	True
85	KVP08_000680	KVP08_000685	55	-1	True
86	KVP08_000685	KVP08_000690	12	-1	True
87	KVP08_000700	KVP08_000705	364	-1	False
88	KVP08_000710	KVP08_000715	11	1	True
89	KVP08_000740	KVP08_000745	131	-1	False
90	KVP08_000745	KVP08_000750	264	-1	False
91	KVP08_000770	KVP08_000775	237	-1	False
92	KVP08_000775	KVP08_000780	201	-1	False
93	KVP08_000780	KVP08_000785	37	-1	True
94	KVP08_000790	KVP08_000795	25	1	True
95	KVP08_000795	KVP08_000800	-3	1	True
96	KVP08_000800	KVP08_000805	4	1	True
97	KVP08_000805	KVP08_000810	71	1	True
98	KVP08_000810	KVP08_000815	2	1	True
99	KVP08_000815	KVP08_000820	-13	1	True
100	KVP08_000820	KVP08_000825	-19	1	True
101	KVP08_000825	KVP08_000830	-3	1	True
102	KVP08_000830	KVP08_000835	49	1	True
103	KVP08_000835	KVP08_000840	2	1	True
104	KVP08_000840	KVP08_000845	15	1	True
105	KVP08_000855	KVP08_000860	237	1	False
106	KVP08_000860	KVP08_000865	71	1	True
107	KVP08_000865	KVP08_000870	7	1	True
108	KVP08_000870	KVP08_000875	229	1	False
109	KVP08_000875	KVP08_000880	-9	1	True
110	KVP08_000885	KVP08_000890	0	-1	True
111	KVP08_000890	KVP08_000895	97	-1	False
112	KVP08_000945	KVP08_000950	-7	1	True
113	KVP08_000980	KVP08_000985	280	1	False
114	KVP08_000985	KVP08_000990	10	1	True
115	KVP08_000990	KVP08_000995	129	1	False
116	KVP08_000995	KVP08_001000	5	1	True
117	KVP08_001000	KVP08_001005	267	1	False
118	KVP08_001005	KVP08_001010	55	1	True
119	KVP08_001010	KVP08_001015	243	1	False
120	KVP08_001015	KVP08_001020	84	1	True
121	KVP08_001020	KVP08_001025	180	1	False
122	KVP08_001025	KVP08_001030	83	1	True
123	KVP08_001030	KVP08_001035	79	1	True
124	KVP08_001035	KVP08_001040	72	1	True
125	KVP08_001040	KVP08_001045	338	1	False
126	KVP08_001045	KVP08_001050	28	1	True
127	KVP08_001050	KVP08_001055	18	1	True
128	KVP08_001055	KVP08_001060	0	1	True
129	KVP08_001060	KVP08_001065	17	1	True
130	KVP08_001065	KVP08_001070	15	1	True
131	KVP08_001070	KVP08_001075	16	1	True
132	KVP08_001075	KVP08_001080	10	1	True
133	KVP08_001080	KVP08_001085	12	1	True
134	KVP08_001085	KVP08_001090	0	1	True
135	KVP08_001090	KVP08_001095	0	1	True
136	KVP08_001095	KVP08_001100	179	1	False
137	KVP08_001100	KVP08_001105	12	1	True
138	KVP08_001105	KVP08_001110	13	1	True
139	KVP08_001110	KVP08_001115	11	1	True
140	KVP08_001115	KVP08_001120	25	1	True
141	KVP08_001120	KVP08_001125	11	1	True
142	KVP08_001125	KVP08_001130	11	1	True
143	KVP08_001130	KVP08_001135	13	1	True
144	KVP08_001135	KVP08_001140	7	1	True
145	KVP08_001140	KVP08_001145	4	1	True
146	KVP08_001145	KVP08_001150	8	1	True
147	KVP08_001150	KVP08_001155	22	1	True
148	KVP08_001155	KVP08_001160	116	1	False
149	KVP08_001160	KVP08_001165	15	1	True
